Serial measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"0,000351","0,000828","0,000844","0,000359","0,000829","0,000864","0,001059",,"0,000733428571428571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"0,003865","0,003875","0,001386","0,003756","0,001897","0,001751","0,001819",,"0,00262128571428571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"0,013517","0,006388","0,008332","0,013998","0,015047","0,015062","0,011966",,"0,0120442857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"0,050141","0,049276","0,046831","0,040307","0,031209","0,047186","0,047587",,"0,0446481428571429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,"0,123089","0,112663","0,113481","0,092455","0,096838","0,096877","0,107661",,"0,106152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"0,375719","0,361584","0,355724","0,384991","0,394209","0,38001","0,354992",,"0,372461285714286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"1,43841","1,43702","1,45944","1,45708","1,46113","1,44146","1,46583",,"1,45148142857143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMP measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"0,005315","0,009365","0,005849","0,007139","0,005598","0,006813","0,001782",,"0,00598014285714286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"0,003499","0,009651","0,008056","0,006416","0,003982","0,00814","0,010516",,"0,00718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"0,00744","0,003768","0,011075","0,003867","0,004535","0,007298","0,010319",,"0,00690028571428572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"0,014074","0,008325","0,019759","0,013012","0,017822","0,013015","0,012632",,"0,0140912857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,"0,034354","0,02851","0,034445","0,031636","0,034835","0,028978","0,036412",,"0,0327385714285714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"0,080838","0,089915","0,091306","0,076597","0,089044","0,098092","0,088105",,"0,0876995714285714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"0,277655","0,279841","0,307187","0,281335","0,278036","0,283099","0,277746",,"0,283557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"1,01727","1,03077","1,03188","1,02524","1,02472","1,04338","1,05172",,"1,03214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,"4,02451","4,08672","4,0243","4,04678","4,02435","4,03352","4,04406",,"4,04060571428572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenCL measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"0,203385","0,195431","0,20365","0,193914","0,194156","0,197866","0,209805",,"0,199743857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"0,19358","0,205472","0,188207","0,19341","0,207845","0,193084","0,178631",,"0,194318428571429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"0,205773","0,212342","0,193439","0,194083","0,216404","0,187702","0,17813",,"0,198267571428571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"0,219824","0,204686","0,19629","0,194266","0,181761","0,21227","0,194599",,"0,200528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,"0,208552","0,21289","0,196471","0,233075","0,224916","0,211331","0,213593",,"0,214404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"0,264418","0,22871","0,261659","0,259862","0,232394","0,24884","0,245023",,"0,248700857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"0,401982","0,387811","0,371432","0,365611","0,384884","0,393695","0,36837",,"0,381969285714286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"0,932687","0,925901","0,92411","0,934423","0,918114","0,943201","0,954005",,"0,933205857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,"3,05226","3,04453","3,11193","3,04828","3,05595","3,08848","3,15076",,"3,07888428571429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build OpenCL times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0,003128","0,003283","0,00322","0,003232","0,003684","0,003207","0,00313","0,003131","0,003164","0,003401","0,003402","0,003175","0,003233","0,00309","0,003188","0,003123","0,00319","0,003163","0,003227","0,003099","0,003375","0,003211","0,003257","0,003058","0,003234","0,003326","0,003252","0,003281","0,003134","0,00312","0,003105","0,00338","0,003259","0,003235","0,003222","0,003307","0,003192","0,003094","0,003154","0,003339","0,003052","0,003172","0,003086","0,003171","0,003307","0,003226","0,003599","0,003165","0,003242","0,003108","0,003129","0,003167","0,003531","0,003232","0,003223","0,003128","0,003458","0,003096","0,003141","0,003093","0,003192","0,003303","0,003236"
